turbine_id,nest_id,nest_x_km,nest_y_km
1A01,1D01,3748.31,228.53
1A02,1D01,3748.31,228.53
1A03,1D01,3748.31,228.53
1A04,1D01,3748.31,228.53
1A05,1D01,3748.31,228.53
1A06,1D01,3748.31,228.53
1A07,1B10,3744.0,231.51
1A08,1B10,3744.0,231.51
1A09,1B10,3744.0,231.51
1A10,1B10,3744.0,231.51
1A11,1B10,3744.0,231.51
1B01,1D01,3748.31,228.53
1B02,1D01,3748.31,228.53
1B03,1D01,3748.31,228.53
1B04,1D01,3748.31,228.53
1B05,1D01,3748.31,228.53
1B06,1D01,3748.31,228.53
1B07,1B10,3744.0,231.51
1B08,1B10,3744.0,231.51
1B09,1B10,3744.0,231.51
1B10,1B10,3744.0,231.51
1C01,1D01,3748.31,228.53
1C02,1D01,3748.31,228.53
1C03,1D01,3748.31,228.53
1C04,1D01,3748.31,228.53
1C05,1D01,3748.31,228.53
1C06,1E06,3746.32,232.13
1C07,1E06,3746.32,232.13
1C08,1B10,3744.0,231.51
1C09,1B10,3744.0,231.51
1D01,1D01,3748.31,228.53
1D02,1D01,3748.31,228.53
1D03,1D01,3748.31,228.53
1D04,1D01,3748.31,228.53
1D05,1E06,3746.32,232.13
1D06,1E06,3746.32,232.13
1D07,1E06,3746.32,232.13
1D08,1E06,3746.32,232.13
1E01,1D01,3748.31,228.53
1E02,1D01,3748.31,228.53
1E03,1E06,3746.32,232.13
1E04,1E06,3746.32,232.13
1E05,1E06,3746.32,232.13
1E06,1E06,3746.32,232.13
1E07,1E06,3746.32,232.13
1F01,1D01,3748.31,228.53
1F02,1E06,3746.32,232.13
1F03,1E06,3746.32,232.13
1F04,1E06,3746.32,232.13
1F05,1E06,3746.32,232.13
1F06,1E06,3746.32,232.13
2A12,1B10,3744.0,231.51
2A13,1B10,3744.0,231.51
2A14,1B10,3744.0,231.51
2A15,2B17,3739.81,237.09
2A16,2B17,3739.81,237.09
2A17,2B17,3739.81,237.09
2A18,2B17,3739.81,237.09
2A19,2B17,3739.81,237.09
2A20,2B17,3739.81,237.09
2B11,1B10,3744.0,231.51
2B12,1B10,3744.0,231.51
2B13,1B10,3744.0,231.51
2B14,1B10,3744.0,231.51
2B15,2B17,3739.81,237.09
2B16,2B17,3739.81,237.09
2B17,2B17,3739.81,237.09
2B18,2B17,3739.81,237.09
2C10,1B10,3744.0,231.51
2C11,1B10,3744.0,231.51
2C12,1B10,3744.0,231.51
2C13,2B17,3739.81,237.09
2C14,2B17,3739.81,237.09
2C15,2B17,3739.81,237.09
2C16,2B17,3739.81,237.09
2D09,1B10,3744.0,231.51
2D10,1B10,3744.0,231.51
2D11,1B10,3744.0,231.51
2D12,2B17,3739.81,237.09
2D13,2B17,3739.81,237.09
2D14,2B17,3739.81,237.09
2D15,2B17,3739.81,237.09
2D16,2B17,3739.81,237.09
2D17,2B17,3739.81,237.09
2E08,1E06,3746.32,232.13
2E09,1E06,3746.32,232.13
2E10,1B10,3744.0,231.51
2E11,2B17,3739.81,237.09
2E12,A10,3747.5,237.73
2E13,A10,3747.5,237.73
2E14,2B17,3739.81,237.09
2E15,2B17,3739.81,237.09
2E16,2B17,3739.81,237.09
2F07,1E06,3746.32,232.13
2F08,1E06,3746.32,232.13
2F09,A10,3747.5,237.73
2F10,A10,3747.5,237.73
2F11,A10,3747.5,237.73
2F12,A10,3747.5,237.73
2F13,A10,3747.5,237.73
2F14,A10,3747.5,237.73
2F15,2B17,3739.81,237.09
A01,B02,3737.71,255.08
A02,B02,3737.71,255.08
A03,B02,3737.71,255.08
A04,B02,3737.71,255.08
A05,F03,3736.35,250.78
A06,F07,3739.57,243.73
A07,A10,3747.5,237.73
A08,A10,3747.5,237.73
A09,A10,3747.5,237.73
A10,A10,3747.5,237.73
A11,A10,3747.5,237.73
A12,A10,3747.5,237.73
A13,A10,3747.5,237.73
A14,A10,3747.5,237.73
B01,B02,3737.71,255.08
B02,B02,3737.71,255.08
B03,B02,3737.71,255.08
B04,B02,3737.71,255.08
B05,B02,3737.71,255.08
B06,F07,3739.57,243.73
B07,F07,3739.57,243.73
B08,F07,3739.57,243.73
B09,F07,3739.57,243.73
B10,A10,3747.5,237.73
B11,A10,3747.5,237.73
B12,A10,3747.5,237.73
B13,A10,3747.5,237.73
B14,A10,3747.5,237.73
B15,A10,3747.5,237.73
B16,1E06,3746.32,232.13
B17,1E06,3746.32,232.13
C01,B02,3737.71,255.08
C02,B02,3737.71,255.08
C03,B02,3737.71,255.08
C04,B02,3737.71,255.08
C05,F03,3736.35,250.78
C06,F03,3736.35,250.78
C07,F03,3736.35,250.78
C08,F07,3739.57,243.73
C09,F07,3739.57,243.73
C10,F07,3739.57,243.73
C11,A10,3747.5,237.73
C12,A10,3747.5,237.73
C13,A10,3747.5,237.73
C14,A10,3747.5,237.73
C15,A10,3747.5,237.73
C16,A10,3747.5,237.73
C17,A10,3747.5,237.73
C18,1E06,3746.32,232.13
C19,1E06,3746.32,232.13
C20,1E06,3746.32,232.13
C21,1E06,3746.32,232.13
D01,B02,3737.71,255.08
D02,F03,3736.35,250.78
D03,F03,3736.35,250.78
D04,F03,3736.35,250.78
D05,F03,3736.35,250.78
D06,F07,3739.57,243.73
D07,F07,3739.57,243.73
D08,F07,3739.57,243.73
D09,F07,3739.57,243.73
E01,F03,3736.35,250.78
E02,F03,3736.35,250.78
E03,F03,3736.35,250.78
E04,F03,3736.35,250.78
E05,F07,3739.57,243.73
E06,F07,3739.57,243.73
E07,F07,3739.57,243.73
E08,F07,3739.57,243.73
F01,F03,3736.35,250.78
F02,F03,3736.35,250.78
F03,F03,3736.35,250.78
F04,F03,3736.35,250.78
F05,F03,3736.35,250.78
F06,F07,3739.57,243.73
F07,F07,3739.57,243.73
G01,F03,3736.35,250.78
G02,F03,3736.35,250.78
G03,F03,3736.35,250.78
G04,F03,3736.35,250.78
G05,F07,3739.57,243.73
H01,F03,3736.35,250.78
H02,F03,3736.35,250.78
H03,F03,3736.35,250.78
H04,F03,3736.35,250.78
H05,F07,3739.57,243.73
H06,F07,3739.57,243.73
